name,price,comnum,link
 Python数据分析从入门到精通（货号：MLS） 9787121336133 电子工业出版社 张啸宇 李静威尔文化图书,38.0,0,http://product.dangdang.com/1415036788.html
 Python语言程序设计 王小银、王曙燕、孙家泽 9787302485582,22.62,1,http://product.dangdang.com/1189415669.html
 Python爬虫开发三剑客：用Python写网络爬虫第2版+精通Python爬虫,141.0,0,http://product.dangdang.com/1414313530.html
 python深度学习入门教程：Python深度学习+深度学习入门基于Pytho,166.0,0,http://product.dangdang.com/1414309530.html
 Python web高效开发：Flask Web开发基于Python的Web应用开发实战,114.0,0,http://product.dangdang.com/1414269930.html
 Python编程基础与应用 Python编程从入门到实践精通计算机程序设,29.1,0,http://product.dangdang.com/1414272930.html
 Python自学三件套视频版：Python编程从入门到实践+Python基础教,179.0,0,http://product.dangdang.com/1414254830.html
 Python自学经典套装：Python基础教程 第3版+Python核心编程第3版,135.0,0,http://product.dangdang.com/1414256630.html
 Python web开发2件套：Python编程从入门到实践+Flask Web开发基,108.0,0,http://product.dangdang.com/1414233630.html
 Python测试驱动开发-(影印版),66.8,1,http://product.dangdang.com/1009642961.html
 Python从入门到精通+零基础入门学习Python python语言程序设计基础教程 Python编程从入门到精通爬,90.7,0,http://product.dangdang.com/1473014923.html
 Python游戏编程入门 Python3爬虫数据分析编程教程 程序设计书籍 Python编程初学者指南Python开发,42.4,0,http://product.dangdang.com/1408739688.html
 Python程序设计基础教程 王绍锋 李淑英主编 Python基础Python程,29.9,0,http://product.dangdang.com/1406662524.html
 Python 3 程序设计 python3编程从入门到实践python基础教程核心,38.8,0,http://product.dangdang.com/1406626724.html
 Python机器学习 深度学习 人工智能 神经网络编程实用教程无监督,57.7,0,http://product.dangdang.com/1406589824.html
 Python高级数据分析 机器学习 深度学习和NLP实例python语言基础,44.8,0,http://product.dangdang.com/1406532224.html
 Python程序设计：从编程基础到专业应用 大中专教材教辅 章宁，李海峰 编 机械工业出版社,34.9,0,http://product.dangdang.com/1405973136.html
 [二手旧书九成新]Python 3 7编程快速入门,35.4,0,http://product.dangdang.com/1454248623.html
 Python带我起飞——入门、进阶、商业实战(python入门级，小白快速上手) 9787121343223 李金洪,79.0,0,http://product.dangdang.com/1376077216.html
